MeasurementId,Technology,Latitude,Longitude,RSRQ,RSRP,RSSI,Network_Operator
9999,lte-m,60.782044,20.518723,22,61,21,TDC
811,nb-iot,55.781920,12.518522,22,61,21,Telia
812,nb-iot,55.781993,12.518787,20,60,21,Telia
813,nb-iot,55.782038,12.518849,255,5,16,Telia
814,nb-iot,55.782043,12.518749,255,6,18,Telia
815,nb-iot,55.782017,12.518638,16,56,18,Telia
816,nb-iot,55.781983,12.518591,34,66,20,Telia
817,nb-iot,55.782039,12.518707,34,62,18,Telia
818,nb-iot,55.782064,12.518687,255,6,20,Telia
819,nb-iot,55.782131,12.518732,34,66,20,Telia
820,nb-iot,55.782137,12.518785,18,58,21,Telia
821,nb-iot,55.782144,12.518797,255,6,20,Telia
822,nb-iot,55.782106,12.518810,255,6,18,Telia
823,nb-iot,55.782093,12.518918,255,6,21,Telia
824,nb-iot,55.782143,12.518840,22,60,18,Telia
825,nb-iot,55.782142,12.518718,34,57,20,Telia
826,nb-iot,55.781973,12.518854,255,5,11,Telia
827,nb-iot,55.782278,12.519180,22,69,25,Telia
828,nb-iot,55.782427,12.519690,24,52,17,Telia
829,nb-iot,55.782322,12.520535,22,59,21,Telia
830,nb-iot,55.782277,12.521328,255,5,16,Telia
831,nb-iot,55.782146,12.522094,18,59,22,Telia
832,nb-iot,55.782098,12.522780,22,60,21,Telia
833,nb-iot,55.782393,12.523044,255,6,19,Telia
834,nb-iot,55.782794,12.523173,255,6,19,Telia
835,nb-iot,55.783182,12.523385,255,7,26,Telia
836,nb-iot,55.783713,12.523788,34,67,20,Telia
837,nb-iot,55.784167,12.523747,20,45,8,Telia
842,nb-iot,55.784256,12.524168,255,6,17,Telia
843,nb-iot,55.784615,12.524301,34,69,24,Telia
844,nb-iot,55.785083,12.524682,22,62,22,Telia
845,nb-iot,55.785176,12.525495,34,69,22,Telia
846,nb-iot,55.785498,12.525640,255,7,21,Telia
847,nb-iot,55.786006,12.526144,22,63,20,Telia
848,nb-iot,55.786402,12.526382,18,58,21,Telia
849,nb-iot,55.786873,12.526526,255,6,17,Telia
850,nb-iot,55.787264,12.526870,22,59,20,Telia
851,nb-iot,55.787543,12.527285,255,5,11,Telia
852,nb-iot,55.787590,12.528139,255,5,12,Telia
853,nb-iot,55.787621,12.528929,255,5,12,Telia
854,nb-iot,55.787739,12.529651,34,59,17,Telia
855,nb-iot,55.787796,12.530475,32,45,11,Telia
856,nb-iot,55.787774,12.531581,20,39,11,Telia
857,nb-iot,55.787952,12.532176,255,4,10,Telia
858,nb-iot,55.788129,12.532336,255,5,15,Telia
859,nb-iot,55.788178,12.532388,12,45,16,Telia
860,nb-iot,55.788410,12.532713,34,39,7,Telia
861,nb-iot,55.788346,12.532929,255,4,8,Telia
862,nb-iot,55.788468,12.532981,18,27,5,Telia
876,nb-iot,55.786676,12.525187,34,57,15,Telia
877,nb-iot,55.786844,12.524359,32,54,15,Telia
878,nb-iot,55.786955,12.523471,28,49,20,Telia
879,nb-iot,55.786695,12.522999,24,65,26,Telia
880,nb-iot,55.786607,12.522554,22,66,25,Telia
881,nb-iot,55.786170,12.522309,22,72,28,Telia
882,nb-iot,55.785862,12.521740,255,7,24,Telia
883,nb-iot,55.785720,12.521165,255,5,16,Telia
884,nb-iot,55.785310,12.520872,22,64,21,Telia
885,nb-iot,55.784859,12.520544,24,58,22,Telia
886,nb-iot,55.784517,12.520282,30,70,22,Telia
887,nb-iot,55.783971,12.520091,22,62,16,Telia
888,nb-iot,55.783634,12.519877,14,60,23,Telia
889,nb-iot,55.783200,12.519648,22,60,21,Telia
890,nb-iot,55.782782,12.519386,34,57,15,Telia
891,nb-iot,55.782227,12.518942,20,51,17,Telia
894,nb-iot,55.782089,12.519567,34,65,20,Telia
895,nb-iot,55.782229,12.519040,18,59,21,Telia
921,nb-iot,55.782204,12.518981,16,62,22,Telia
922,nb-iot,55.782068,12.518727,24,64,23,Telia
923,nb-iot,55.782028,12.518721,30,63,19,Telia
924,nb-iot,55.782242,12.518761,255,6,19,Telia
925,nb-iot,55.782273,12.518801,34,64,20,Telia
926,nb-iot,55.782395,12.518749,255,6,19,Telia
927,nb-iot,55.782253,12.518725,30,58,18,Telia
928,nb-iot,55.782086,12.518718,255,6,18,Telia
929,nb-iot,55.782106,12.518734,28,63,21,Telia
930,nb-iot,55.782136,12.518735,22,63,22,Telia
931,nb-iot,55.782195,12.518713,24,61,22,Telia
932,nb-iot,55.782177,12.518783,28,62,18,Telia
933,nb-iot,55.782173,12.518749,28,62,18,Telia
934,nb-iot,55.782165,12.518820,28,62,21,Telia
935,nb-iot,55.781996,12.518680,24,64,23,Telia
936,nb-iot,55.782013,12.518612,26,65,21,Telia
937,nb-iot,55.782045,12.518679,255,6,18,Telia
938,nb-iot,55.782112,12.518733,255,6,19,Telia
939,nb-iot,55.782112,12.518706,255,6,18,Telia
940,nb-iot,55.782105,12.518817,20,67,23,Telia
941,nb-iot,55.782116,12.518756,22,61,22,Telia
942,nb-iot,55.782053,12.518734,16,66,24,Telia
943,nb-iot,55.782001,12.518709,14,65,23,Telia
944,nb-iot,55.782076,12.518706,22,62,22,Telia
945,nb-iot,55.782080,12.518719,18,60,22,Telia
946,nb-iot,55.782105,12.518671,34,55,14,Telia
948,nb-iot,55.781266,12.518206,255,5,13,Telia
949,nb-iot,55.780881,12.518182,255,5,12,Telia
950,nb-iot,55.780427,12.517776,255,4,9,Telia
951,nb-iot,55.780303,12.515671,34,47,11,Telia
952,nb-iot,55.780230,12.517764,32,44,10,Telia
954,nb-iot,55.780034,12.518922,255,5,14,Telia
955,nb-iot,55.779592,12.518509,30,45,11,Telia
956,nb-iot,55.779195,12.519631,24,39,10,Telia
958,nb-iot,55.779096,12.521782,34,52,13,Telia
959,nb-iot,55.779638,12.521397,34,58,15,Telia
960,nb-iot,55.780144,12.521944,22,63,24,Telia
961,nb-iot,55.780405,12.522248,22,57,20,Telia
962,nb-iot,55.780979,12.522540,255,7,22,Telia
963,nb-iot,55.781424,12.522727,255,6,19,Telia
964,nb-iot,55.781714,12.522923,255,6,20,Telia
965,nb-iot,55.782281,12.523130,20,67,24,Telia
966,nb-iot,55.782660,12.523366,34,65,19,Telia
967,nb-iot,55.783128,12.523590,20,71,29,Telia
968,nb-iot,55.783662,12.523756,255,6,23,Telia
975,nb-iot,55.783299,12.524226,18,72,27,Telia
977,nb-iot,55.783200,12.524326,34,64,18,Telia
978,nb-iot,55.783699,12.524385,18,66,25,Telia
979,nb-iot,55.784118,12.524570,255,6,19,Telia
980,nb-iot,55.784737,12.524513,14,59,22,Telia
981,nb-iot,55.784338,12.523597,255,6,20,Telia
982,nb-iot,55.785064,12.523903,255,6,20,Telia
983,nb-iot,55.785311,12.522823,20,65,24,Telia
984,nb-iot,55.785670,12.522519,22,64,23,Telia
985,nb-iot,55.785476,12.520209,34,67,21,Telia
986,nb-iot,55.785726,12.520928,34,68,21,Telia
987,nb-iot,55.785916,12.520132,34,71,22,Telia
988,nb-iot,55.785999,12.519323,255,6,20,Telia
989,nb-iot,55.786232,12.519045,22,75,28,Telia
990,nb-iot,55.786361,12.517802,24,74,29,Telia
991,nb-iot,55.786379,12.516651,255,7,22,Telia
992,nb-iot,55.786538,12.516278,255,6,20,Telia
993,nb-iot,55.786566,12.515762,18,48,17,Telia
994,nb-iot,55.786387,12.514651,255,5,13,Telia
995,nb-iot,55.786348,12.514599,26,45,13,Telia
996,nb-iot,55.785893,12.514567,28,54,13,Telia
997,nb-iot,55.785573,12.514508,255,4,12,Telia
998,nb-iot,55.785139,12.513826,255,5,15,Telia
999,nb-iot,55.784666,12.513592,34,50,12,Telia
1000,nb-iot,55.784358,12.513268,255,5,14,Telia
1001,nb-iot,55.783916,12.512638,22,62,22,Telia
1002,nb-iot,55.783510,12.512132,34,69,28,Telia
1003,nb-iot,55.783114,12.511944,255,6,21,Telia
1004,nb-iot,55.782624,12.511540,18,65,25,Telia
1005,nb-iot,55.782210,12.511150,24,75,28,Telia
1006,nb-iot,55.781900,12.511187,22,74,28,Telia
1007,nb-iot,55.781494,12.510985,34,71,23,Telia
1008,nb-iot,55.781169,12.511547,20,57,23,Telia
1009,nb-iot,55.781003,12.512139,22,59,21,Telia
1010,nb-iot,55.781053,12.512900,14,66,23,Telia
1011,nb-iot,55.780991,12.513707,20,57,20,Telia
1012,nb-iot,55.780864,12.514492,20,42,10,Telia
1013,nb-iot,55.780778,12.515591,34,51,13,Telia
1014,nb-iot,55.780753,12.516556,24,42,11,Telia
1015,nb-iot,55.780848,12.517060,30,46,12,Telia
1016,nb-iot,55.781286,12.517307,28,46,12,Telia
1017,nb-iot,55.781776,12.517552,18,34,9,Telia
1021,nb-iot,55.782114,12.518985,34,69,20,Telia
1023,nb-iot,55.782099,12.518795,255,6,21,Telia
1024,nb-iot,55.781779,12.518341,255,6,20,Telia
1025,nb-iot,55.781992,12.518461,22,71,26,Telia
1026,nb-iot,55.781990,12.518596,24,72,27,Telia
1027,nb-iot,55.781973,12.518529,24,69,26,Telia
1028,nb-iot,55.782107,12.518805,22,71,27,Telia
1029,nb-iot,55.782215,12.518878,16,73,30,Telia
1030,nb-iot,55.782417,12.518994,30,74,23,Telia
1031,nb-iot,55.782402,12.518837,30,74,24,Telia
1032,nb-iot,55.782139,12.518703,30,73,26,Telia
1033,nb-iot,55.782124,12.518705,24,72,27,Telia
1034,nb-iot,55.782113,12.518766,16,73,29,Telia
1035,nb-iot,55.782131,12.518771,30,72,25,Telia
1036,nb-iot,55.782085,12.518705,14,73,29,Telia
1037,nb-iot,55.782007,12.518670,20,74,27,Telia
1038,nb-iot,55.782068,12.518752,20,71,27,Telia
1119,nb-iot,55.782103,12.518604,34,53,13,Telia
1120,nb-iot,55.782038,12.518826,24,58,19,Telia
1121,nb-iot,55.782062,12.518417,16,56,20,Telia
1122,nb-iot,55.782011,12.518722,16,55,20,Telia
1123,nb-iot,55.782082,12.518402,20,63,23,Telia
1124,nb-iot,55.781892,12.518422,14,63,24,Telia
1125,nb-iot,55.782211,12.518767,14,62,25,Telia
1126,nb-iot,55.782140,12.518720,26,57,19,Telia
1127,nb-iot,55.782208,12.518882,22,57,19,Telia
1130,nb-iot,55.782289,12.519244,255,5,15,Telia
1131,nb-iot,55.782274,12.520176,255,5,14,Telia
1132,nb-iot,55.782454,12.522855,24,70,26,Telia
1133,nb-iot,55.783297,12.523709,255,7,24,Telia
1134,nb-iot,55.784014,12.524138,28,65,21,Telia
1135,nb-iot,55.785002,12.524738,14,44,15,Telia
1136,nb-iot,55.785474,12.523130,10,59,24,Telia
1137,nb-iot,55.785328,12.520978,34,65,20,Telia
1138,nb-iot,55.786460,12.522227,22,66,24,Telia
1139,nb-iot,55.787292,12.523104,34,49,12,Telia
1140,nb-iot,55.786932,12.524511,255,6,17,Telia
1141,nb-iot,55.787155,12.525894,22,63,19,Telia
1142,nb-iot,55.787597,12.527097,34,54,14,Telia
1143,nb-iot,55.787442,12.529154,255,5,14,Telia
1144,nb-iot,55.787617,12.530812,255,2,99,Telia
1145,nb-iot,55.787762,12.531801,255,4,11,Telia
1146,nb-iot,55.787955,12.532346,255,5,13,Telia
1147,nb-iot,55.787823,12.533641,255,6,21,Telia
1148,nb-iot,55.787346,12.534933,26,64,23,Telia
1149,nb-iot,55.787581,12.535241,255,6,19,Telia
1150,nb-iot,55.787750,12.537600,34,52,13,Telia
1151,nb-iot,55.787581,12.539238,20,34,8,Telia
1153,nb-iot,55.788135,12.547263,32,42,12,Telia
1154,nb-iot,55.787127,12.544840,34,47,11,Telia
1155,nb-iot,55.787668,12.546467,20,37,11,Telia
1156,nb-iot,55.787174,12.548642,16,35,11,Telia
1157,nb-iot,55.787810,12.550354,34,38,8,Telia
